quarter,stock,date,open,high,low,close,volume,percent_change_price,percent_change_volume_over_last_wk,previous_weeks_volume,days_to_next_dividend,percent_return_next_dividend,ISM,PCE,next_weeks_open,next_weeks_close,percent_change_next_weeks_price
1,2,20110114,16.71,16.71,15.64,15.97,242963398,-4.42849,1.380223028,239655616,19,0.187852,59.3,10512.4,16.19,15.79,-2.47066
1,1,20110114,44.2,46.25,44.01,46.25,25913713,4.63801,-42.54425775,45102042,82,0.389189,59.3,10512.4,46.03,46,-0.0651749
1,5,20110114,69.42,70.5,68.35,70.07,18834664,0.93633,-48.05394212,36258120,26,0.599401,59.3,10512.4,70.86,71.68,1.15721
1,4,20110114,14.17,15.25,14.09,15.25,760935694,7.62174,-47.64583288,1453438639,47,0.0655738,59.3,10512.4,15.08,14.25,-5.50398
1,6,20110114,93.21,94.7,92.51,94.01,19707235,0.858277,-18.3488805,24135903,4,0.468035,59.3,10512.4,94.16,92.75,-1.49745
1,8,20110114,20.94,21.23,20.7,21.21,154708263,1.2894,-49.03298835,303545878,74,0.282885,59.3,10512.4,21.22,20.72,-2.35627
1,7,20110114,90.95,92.85,90.12,92.83,28260512,2.06707,-20.51894731,35556288,31,0.775611,59.3,10512.4,92.94,93.78,0.903809
1,10,20110114,48.3,49.8,47.2,49.8,34546875,3.10559,24.90378736,27658789,28,0.823293,59.3,10512.4,49.53,48.35,-2.38239
1,29,20110114,39.01,39.81,38.92,39.29,31943413,0.717765,-56.1924641,72917621,329,1.01807,59.3,10512.4,39.07,39.74,1.71487
1,12,20110114,18.61,18.82,18.46,18.82,215626229,1.12843,-23.03090658,280146510,31,0.74389,59.3,10512.4,18.98,19.74,4.00421
1,14,20110114,34.16,35.89,34.07,35.89,41918450,5.0644,-25.9088433,56576860,53,0.696573,59.3,10512.4,35.97,36.51,1.50125
1,13,20110114,44.86,46.25,44.57,46.25,65464211,3.09853,-34.54935299,100020724,59,0.172973,59.3,10512.4,46.14,47.23,2.36238
1,16,20110114,147,150,146,150,15335348,2.04082,-34.72331978,23492843,25,0.433333,59.3,10512.4,149.82,155.5,3.79122
1,15,20110114,20.71,21.33,20.57,21.08,274111012,1.78658,-29.11892917,386719626,20,0.85389,59.3,10512.4,21.03,20.82,-0.998573
1,17,20110114,62.29,62.98,62,62.55,34950419,0.417402,-39.50570645,57774737,42,0.863309,59.3,10512.4,62.21,62.66,0.723356
1,18,20110114,43.27,44.97,43,44.91,144662779,3.79015,-38.32271009,234547885,80,0.556669,59.3,10512.4,45.02,45.29,0.599733
1,9,20110114,62.7,63.86,62.56,63.13,31297830,0.685805,-47.6644074,59802189,56,0.744496,59.3,10512.4,63.21,62.77,-0.696092
1,19,20110114,30.91,31.72,30.89,31.34,24955086,1.39114,-44.50944226,44971770,74,0.925335,59.3,10512.4,31.41,31.35,-0.191022
1,20,20110114,74.25,74.49,72.46,74.06,44895850,-0.255892,-47.42916382,85400677,42,0.823656,59.3,10512.4,74.65,75.01,0.482251
1,0,20110114,85.7,88.8,85.7,88.1,11585909,2.80047,-28.33571092,16166921,33,0.624291,59.3,10512.4,87.84,89.29,1.65073
1,21,20110114,37.26,37.61,34.23,34.23,108158891,-8.13204,48.65058696,72760487,56,1.11014,59.3,10512.4,34.07,33.9,-0.498973
1,22,20110114,28.2,28.5,28,28.3,227601331,0.35461,-30.74577985,328646154,32,0.565371,59.3,10512.4,28.16,28.02,-0.497159
1,23,20110114,18.22,18.48,18.13,18.34,218359623,0.658617,-43.54784915,386804789,19,1.09051,59.3,10512.4,18.35,18.36,0.0544959
1,24,20110114,64.4,65.53,63.4,65.53,41932473,1.75466,-19.85897043,52323352,5,0.732489,59.3,10512.4,65.65,65.91,0.39604
1,3,20110114,28.54,28.61,27.71,28.43,170616350,-0.385424,8.098365941,157834347,23,1.51249,59.3,10512.4,28.55,28.33,-0.770578
1,25,20110114,53.12,54.84,52.96,54.63,14820631,2.84262,-25.93430373,20010115,53,0.658979,59.3,10512.4,54.62,55,0.695716
1,26,20110114,78.27,79.9,77.81,79.08,12713121,1.03488,-19.52621247,15797841,33,0.543753,59.3,10512.4,79.28,80.2,1.16044
1,27,20110114,36.55,36.58,34.98,35.46,130610954,-2.98222,-7.980318796,141938064,82,1.38184,59.3,10512.4,35.38,34.95,-1.21538
1,28,20110114,53.65,55.36,53.54,54.81,48929455,2.16216,-23.82289137,64231179,54,0.675059,59.3,10512.4,55.11,55.73,1.12502
1,11,20110114,75.13,77.84,74.58,77.84,74376886,3.60708,-26.89580899,101740933,45,0.565262,59.3,10512.4,77.79,78.98,1.52976
1,2,20110121,16.19,16.38,15.6,15.79,138428495,-2.47066,-43.02495926,242963398,12,0.189994,59.3,10512.4,15.87,16.13,1.63831
1,1,20110121,46.03,46.71,44.71,46,38824728,-0.0651749,49.82309945,25913713,75,0.391304,59.3,10512.4,46.05,43.86,-4.7557
1,5,20110121,70.86,72.99,70.23,71.68,29594221,1.15721,57.1263549,18834664,19,0.585938,59.3,10512.4,71.52,69.23,-3.2019
1,4,20110121,15.08,15.16,13.94,14.25,982445809,-5.50398,29.11022794,760935694,40,0.0701754,59.3,10512.4,14.25,13.6,-4.5614
1,6,20110121,94.16,96.8,92.37,92.75,28651009,-1.49745,45.38320064,19707235,89,0.474394,59.3,10512.4,92.71,95.68,3.20354
1,8,20110121,21.22,21.33,20.5,20.72,193706863,-2.35627,25.20783263,154708263,67,0.289575,59.3,10512.4,20.84,20.93,0.431862
1,7,20110121,92.94,93.94,91.58,93.78,27752622,0.903809,-1.797171969,28260512,24,0.767754,59.3,10512.4,93.89,93.37,-0.55384
1,10,20110121,49.53,50.14,47.65,48.35,25611091,-2.38239,-25.8656796,34546875,21,0.847983,59.3,10512.4,48.44,50.29,3.81916
1,29,20110121,39.07,39.94,38.51,39.74,36187032,1.71487,13.28480147,31943413,322,1.00654,59.3,10512.4,39.64,38.85,-1.99294
1,12,20110121,18.98,19.97,18.17,19.74,449508777,4.00421,108.4666504,215626229,24,0.70922,59.3,10512.4,19.93,20.2,1.35474
1,14,20110121,35.97,36.99,35.48,36.51,45249920,1.50125,7.94750283,41918450,46,0.684744,59.3,10512.4,36.46,36.7,0.658256
1,13,20110121,46.14,47.64,45.76,47.23,82623453,2.36238,26.21163799,65464211,52,0.169384,59.3,10512.4,46.69,45.51,-2.52731
1,16,20110121,149.82,156.78,149.38,155.5,35770931,3.79122,133.2580324,15335348,18,0.418006,59.3,10512.4,155.42,159.21,2.43855
1,15,20110121,21.03,21.2,20.62,20.82,218479469,-0.998573,-20.29526016,274111012,13,0.864553,59.3,10512.4,21.03,21.46,2.0447
1,17,20110121,62.21,63.25,62.01,62.66,47999880,0.723356,37.33706597,34950419,35,0.861794,59.3,10512.4,62.56,60.01,-4.07609
1,18,20110121,45.02,45.54,43.6,45.29,182971761,0.599733,26.48157478,144662779,73,0.551998,59.3,10512.4,45.21,44.54,-1.48197
1,9,20110121,63.21,63.92,62.72,62.77,36000586,-0.696092,15.02582128,31297830,49,0.748765,59.3,10512.4,62.87,62.21,-1.04979
1,19,20110121,31.41,31.52,30.89,31.35,41200255,-0.191022,65.09762779,24955086,67,0.92504,59.3,10512.4,31.39,30.53,-2.73973
1,20,20110121,74.65,75.75,74.31,75.01,40056497,0.482251,-10.77906533,44895850,35,0.813225,59.3,10512.4,74.25,73.28,-1.3064
1,0,20110121,87.84,89.39,87.25,89.29,10705548,1.65073,-7.598549238,11585909,26,0.61597,59.3,10512.4,89.21,87.44,-1.98408
1,21,20110121,34.07,34.3,33.48,33.9,131132702,-0.498973,21.24079749,108158891,49,1.12094,59.3,10512.4,33.99,33.07,-2.70668
1,22,20110121,28.16,28.74,28.02,28.02,220040646,-0.497159,-3.321898412,227601331,25,0.571021,59.3,10512.4,28.02,27.75,-0.963597
1,23,20110121,18.35,18.49,18.02,18.36,159663706,0.0544959,-26.88038942,218359623,12,1.08932,59.3,10512.4,18.33,18.15,-0.981997
1,24,20110121,65.65,65.95,65.05,65.91,46213962,0.39604,10.21043762,41932473,96,0.804127,59.3,10512.4,65.9,64.2,-2.57967
1,3,20110121,28.55,28.59,28.15,28.33,130584257,-0.770578,-23.46322202,170616350,16,1.51783,59.3,10512.4,28.46,27.49,-3.40829
1,25,20110121,54.62,55.24,54.07,55,13631048,0.695716,-8.026534093,14820631,46,0.654545,59.3,10512.4,55.14,55.81,1.21509
1,26,20110121,79.28,80.5,78.98,80.2,16471934,1.16044,29.56640623,12713121,26,0.53616,59.3,10512.4,80.26,81.43,1.45776
1,27,20110121,35.38,35.51,34.35,34.95,108296302,-1.21538,-17.08482429,130610954,75,1.402,59.3,10512.4,34.88,35.63,2.15023
1,28,20110121,55.11,56.27,54.71,55.73,53009787,1.12502,8.339214079,48929455,47,0.663915,59.3,10512.4,55.39,56.7,2.36505
1,11,20110121,77.79,79.1,76.77,78.98,99941187,1.52976,34.37129782,74376886,38,0.557103,59.3,10512.4,78.85,78.99,0.177552
1,2,20110128,15.87,16.63,15.82,16.13,151379173,1.63831,9.355500109,138428495,5,0.185989,59.3,10512.4,16.18,17.14,5.93325
1,1,20110128,46.05,46.27,43.42,43.86,51427274,-4.7557,32.4601012,38824728,68,0.410397,59.3,10512.4,44.13,43.82,-0.70247
1,5,20110128,71.52,72.82,69,69.23,34929673,-3.2019,18.02869553,29594221,12,0.606673,59.3,10512.4,69.26,71.38,3.06093
1,4,20110128,14.25,14.26,13.4,13.6,1054415375,-4.5614,7.325550716,982445809,33,0.0735294,59.3,10512.4,13.71,14.29,4.23049
1,6,20110128,92.71,97.79,92.51,95.68,34929068,3.20354,21.91217419,28651009,82,0.459866,59.3,10512.4,96.13,99.59,3.59929
1,8,20110128,20.84,21.61,20.73,20.93,265687272,0.431862,37.15945212,193706863,60,0.28667,59.3,10512.4,20.93,22.05,5.35117
1,7,20110128,93.89,94.97,92.93,93.37,42303108,-0.55384,52.42922993,27752622,17,0.771126,59.3,10512.4,93.85,97.11,3.47363
1,10,20110128,48.44,50.66,48.26,50.29,45429653,3.81916,77.38273235,25611091,14,0.815271,59.3,10512.4,50.15,52.53,4.74576
1,29,20110128,39.64,39.95,38.65,38.85,42131642,-1.99294,16.42745943,36187032,315,1.0296,59.3,10512.4,39.04,40.71,4.27766
1,12,20110128,19.93,20.74,19.74,20.2,437317986,1.35474,-2.712025131,449508777,17,0.693069,59.3,10512.4,20.13,20.56,2.13612
1,14,20110128,36.46,38.12,36.3,36.7,63397367,0.658256,40.10492615,45249920,39,0.681199,59.3,10512.4,37.13,36.8,-0.888769
1,13,20110128,46.69,47.83,45.36,45.51,84066350,-2.52731,1.746352818,82623453,45,0.175786,59.3,10512.4,45.41,47.43,4.44836
1,16,20110128,155.42,164.35,155.33,159.21,32510483,2.43855,-9.114797711,35770931,11,0.408266,59.3,10512.4,159.18,164,3.02802
1,15,20110128,21.03,21.94,20.93,21.46,325168191,2.0447,48.83237884,218479469,6,0.83877,59.3,10512.4,21.55,21.68,0.603248
1,17,20110128,62.56,62.72,60,60.01,86229071,-4.07609,79.64434703,47999880,28,0.89985,59.3,10512.4,60.16,60.84,1.13032
1,18,20110128,45.21,45.88,44.26,44.54,154832501,-1.48197,-15.37901797,182971761,66,0.561293,59.3,10512.4,44.41,44.59,0.405314
1,9,20110128,62.87,63.31,62.14,62.21,42141599,-1.04979,17.05809178,36000586,42,0.755506,59.3,10512.4,62.32,62.56,0.385109
1,19,20110128,31.39,31.77,30.5,30.53,55657855,-2.73973,35.09104495,41200255,60,0.949885,59.3,10512.4,30.53,31.19,2.16181
1,20,20110128,74.25,75.85,73.05,73.28,46734907,-1.3064,16.67247638,40056497,28,0.832424,59.3,10512.4,73.8,74.05,0.338753
1,0,20110128,89.21,90.5,87.2,87.44,26110543,-1.98408,143.8973045,10705548,19,0.629003,59.3,10512.4,87.93,88.29,0.409417
1,21,20110128,33.99,33.99,33,33.07,110066602,-2.70668,-16.06471893,131132702,42,1.14908,59.3,10512.4,33.29,32.89,-1.20156
1,22,20110128,28.02,29.46,27.45,27.75,457318851,-0.963597,107.8338068,220040646,18,0.576577,59.3,10512.4,27.77,27.77,0
1,23,20110128,18.33,18.76,18.14,18.15,277157388,-0.981997,73.58822173,159663706,5,1.10193,59.3,10512.4,18.19,19.3,6.10225
1,24,20110128,65.9,66.95,63.14,64.2,70042160,-2.57967,51.56060413,46213962,89,0.825545,59.3,10512.4,64.35,63.61,-1.14996
1,3,20110128,28.46,28.95,27.41,27.49,171464186,-3.40829,31.30540384,130584257,9,1.56421,59.3,10512.4,27.42,27.97,2.00584
1,25,20110128,55.14,57.78,54.97,55.81,26595621,1.21509,95.11061072,13631048,39,0.645046,59.3,10512.4,55.81,57.41,2.86687
1,26,20110128,80.26,83.08,80.26,81.43,23565688,1.45776,43.06570194,16471934,19,0.528061,59.3,10512.4,81.8,82.52,0.880196
1,27,20110128,34.88,36.59,34.88,35.63,124127036,2.15023,14.61798206,108296302,68,1.37525,59.3,10512.4,35.64,36.31,1.87991
1,28,20110128,55.39,57.9,55.3,56.7,69546259,2.36505,31.19513006,53009787,40,0.652557,59.3,10512.4,56.45,56.03,-0.744021
1,11,20110128,78.85,79.98,77.93,78.99,115376817,0.177552,15.4447135,99941187,31,0.557033,59.3,10512.4,79.92,83.28,4.2042
1,2,20110204,16.18,17.39,16.18,17.14,154387761,5.93325,1.987451735,151379173,97,0.175029,59.1,10583.5,17.33,17.37,0.230814
1,1,20110204,44.13,44.23,43.15,43.82,39501680,-0.70247,-23.18924001,51427274,61,0.410771,59.1,10583.5,43.96,46.75,6.34668
1,5,20110204,69.26,71.64,69.12,71.38,22770062,3.06093,-34.81169434,34929673,5,0.5884,59.1,10583.5,71.43,72.14,0.99398
1,4,20110204,13.71,14.47,13.64,14.29,757192224,4.23049,-28.18843105,1054415375,26,0.069979,59.1,10583.5,14.51,14.77,1.79187
1,6,20110204,96.13,99.72,95.85,99.59,31169285,3.59929,-10.76405188,34929068,75,0.441811,59.1,10583.5,99.62,103.54,3.93495
1,8,20110204,20.93,22.15,20.71,22.05,236334561,5.35117,-11.04784237,265687272,53,0.272109,59.1,10583.5,22.11,18.7,-15.4229
1,7,20110204,93.85,97.44,93.37,97.11,48766293,3.47363,15.27827459,42303108,10,0.741427,59.1,10583.5,97.28,96.45,-0.853207
1,10,20110204,50.15,52.63,50.09,52.53,31069977,4.74576,-31.60859714,45429653,7,0.780506,59.1,10583.5,52.62,54.58,3.72482
1,29,20110204,39.04,40.77,38.64,40.71,53521486,4.27766,27.0339428,42131642,308,0.98256,59.1,10583.5,40.8,43.41,6.39706
1,12,20110204,20.13,20.96,20.1,20.56,246591055,2.13612,-43.61287144,437317986,10,0.680934,59.1,10583.5,20.77,21.33,2.6962
1,14,20110204,37.13,37.18,36.38,36.8,41844858,-0.888769,-33.99590554,63397367,32,0.679348,59.1,10583.5,36.8,37.48,1.84783
1,13,20110204,45.41,47.52,45.13,47.43,74475624,4.44836,-11.40851958,84066350,38,0.16867,59.1,10583.5,47.71,48.64,1.94928
1,16,20110204,159.18,164.2,158.68,164,25377163,3.02802,-21.94159958,32510483,4,0.396341,59.1,10583.5,164.08,163.85,-0.140176
1,15,20110204,21.55,21.71,21.03,21.68,277969054,0.603248,-14.51529956,325168191,89,0.830258,59.1,10583.5,21.74,21.76,0.0919963
1,17,20110204,60.16,60.99,59.69,60.84,63641929,1.13032,-26.19434692,86229071,21,0.887574,59.1,10583.5,60.88,60.7,-0.295664
1,18,20110204,44.41,46,44.3,44.59,137430065,0.405314,-11.23952393,154832501,59,0.560664,59.1,10583.5,44.75,46.57,4.06704
1,9,20110204,62.32,63.48,61.89,62.56,34863226,0.385109,-17.27123121,42141599,35,0.751279,59.1,10583.5,62.67,63.57,1.43609
1,19,20110204,30.53,31.22,30.21,31.19,34764359,2.16181,-37.53916855,55657855,53,0.929785,59.1,10583.5,31.18,30.66,-1.66774
1,20,20110204,73.8,74.5,73.08,74.05,41519549,0.338753,-11.15944876,46734907,21,0.823768,59.1,10583.5,74.13,76.14,2.71145
1,0,20110204,87.93,88.45,87.31,88.29,14960948,0.409417,-42.70150567,26110543,12,0.622947,59.1,10583.5,88.17,91.8,4.11705
1,21,20110204,33.29,34.04,32.51,32.89,114880019,-1.20156,4.373185792,110066602,35,1.15537,59.1,10583.5,32.94,33.07,0.394657
1,22,20110204,27.77,28.11,27.42,27.77,274432773,0,-39.99093359,457318851,11,0.576161,59.1,10583.5,27.8,27.25,-1.97842
1,23,20110204,18.19,19.39,18.16,19.3,358819619,6.10225,29.46420862,277157388,96,1.03627,59.1,10583.5,19.27,18.83,-2.28334
1,24,20110204,64.35,64.36,62.3,63.61,57201539,-1.14996,-18.33270276,70042160,82,0.833202,59.1,10583.5,63.95,64.73,1.2197
1,3,20110204,27.42,28.06,27.2,27.97,118469916,2.00584,-30.90690321,171464186,2,1.53736,59.1,10583.5,27.97,28.47,1.78763
1,25,20110204,55.81,57.52,55.81,57.41,27494461,2.86687,3.379654117,26595621,32,0.627068,59.1,10583.5,57.32,58.99,2.91347
1,26,20110204,81.8,82.6,80.66,82.52,15689029,0.880196,-33.42426922,23565688,12,0.521086,59.1,10583.5,82.85,85.2,2.83645
1,27,20110204,35.64,36.48,35.38,36.31,72890565,1.87991,-41.2774466,124127036,61,1.34949,59.1,10583.5,36.3,36.39,0.247934
1,28,20110204,56.45,56.58,55.39,56.03,60981950,-0.744021,-12.31455023,69546259,33,0.660361,59.1,10583.5,56.07,55.69,-0.677724
1,11,20110204,79.92,83.98,79.01,83.28,129743696,4.2042,12.45213672,115376817,24,0.528338,59.1,10583.5,83.45,82.82,-0.754943
1,2,20110211,17.33,17.48,16.97,17.37,114691279,0.230814,-25.71219489,154387761,90,0.172712,59.1,10583.5,17.39,17.28,-0.632547
1,1,20110211,43.96,46.79,43.88,46.75,43746998,6.34668,10.74718341,39501680,54,0.385027,59.1,10583.5,46.42,45.53,-1.91728
1,5,20110211,71.43,72.99,71.15,72.14,21809411,0.99398,-4.218921319,22770062,89,0.582201,59.1,10583.5,72.7,73.04,0.467675
1,4,20110211,14.51,14.87,14.35,14.77,746465458,1.79187,-1.416650312,757192224,19,0.0677048,59.1,10583.5,14.77,14.75,-0.13541
1,6,20110211,99.62,103.55,98.75,103.54,27632394,3.93495,-11.34736007,31169285,68,0.424957,59.1,10583.5,103.56,105.86,2.22093
1,8,20110211,22.11,22.34,18.61,18.7,1000362015,-15.4229,323.2821517,236334561,46,0.320856,59.1,10583.5,18.84,18.85,0.0530786
1,7,20110211,97.28,98.23,95.7,96.45,38838595,-0.853207,-20.35770486,48766293,3,0.746501,59.1,10583.5,95.5,98.72,3.37173
1,10,20110211,52.62,54.75,52.51,54.58,37155830,3.72482,19.58756841,31069977,0,0.751191,59.1,10583.5,54.44,55.98,2.8288
1,29,20110211,40.8,44.05,40.71,43.41,83975520,6.39706,56.90057634,53521486,301,0.921447,59.1,10583.5,43.19,43.56,0.85668
1,12,20110211,20.77,21.44,20.73,21.33,252254376,2.6962,2.296644945,246591055,3,0.656353,59.1,10583.5,21.51,21.44,-0.32543
1,14,20110211,36.8,37.48,36.41,37.48,36079400,1.84783,-13.77817556,41844858,25,0.667022,59.1,10583.5,37.47,38.48,2.69549
1,13,20110211,47.71,49.39,47.61,48.64,84089936,1.94928,12.90934065,74475624,31,0.164474,59.1,10583.5,48.45,48.67,0.454076
1,16,20110211,164.08,166.25,163.18,163.85,26106753,-0.140176,2.874986459,25377163,84,0.457736,59.1,10583.5,164.18,164.84,0.401998
1,15,20110211,21.74,21.86,21.35,21.76,236842359,0.0919963,-14.79542216,277969054,82,0.827206,59.1,10583.5,21.63,22.14,2.35784
1,17,20110211,60.88,61.17,60.42,60.7,42897125,-0.295664,-32.596127,63641929,14,0.889621,59.1,10583.5,60.69,61.11,0.692042
1,18,20110211,44.75,46.89,44.65,46.57,162434145,4.06704,18.19403927,137430065,52,0.536826,59.1,10583.5,46,48,4.34783
1,9,20110211,62.67,64.75,62.32,63.57,46269528,1.43609,32.71728784,34863226,28,0.739342,59.1,10583.5,63.67,64.55,1.38213
1,19,20110211,31.18,31.25,30.24,30.66,65912258,-1.66774,89.59721938,34764359,46,0.945858,59.1,10583.5,30.67,30.91,0.782524
1,20,20110211,74.13,76.32,73.3,76.14,39363816,2.71145,-5.192091561,41519549,14,0.801156,59.1,10583.5,76.07,76.13,0.0788747
1,0,20110211,88.17,91.95,87.81,91.8,16315175,4.11705,9.051745919,14960948,5,0.599129,59.1,10583.5,91.72,92.96,1.35194
1,21,20110211,32.94,33.3,32.74,33.07,62039482,0.394657,-45.99628156,114880019,28,1.14908,59.1,10583.5,32.97,32.85,-0.363967
1,22,20110211,27.8,28.34,27.07,27.25,317408348,-1.97842,15.65978237,274432773,4,0.587156,59.1,10583.5,27.2,27.06,-0.514706
1,23,20110211,19.27,19.3,18.62,18.83,180912039,-2.28334,-49.58134131,358819619,89,1.06213,59.1,10583.5,18.82,19.19,1.96599
1,24,20110211,63.95,64.97,63.8,64.73,51999812,1.2197,-9.093683651,57201539,75,0.818786,59.1,10583.5,64.8,64.3,-0.771605
1,3,20110211,27.97,28.59,27.63,28.47,128889979,1.78763,8.795535062,118469916,54,1.51036,59.1,10583.5,28.4,28.57,0.598592
1,25,20110211,57.32,59.12,56.97,58.99,19539527,2.91347,-28.93286033,27494461,25,0.610273,59.1,10583.5,58.84,60.92,3.53501
1,26,20110211,82.85,85.46,82.73,85.2,16641148,2.83645,6.06869297,15689029,5,0.504695,59.1,10583.5,85.07,85.01,-0.0705302
1,27,20110211,36.3,36.77,35.77,36.39,78429505,0.247934,7.598980746,72890565,54,1.34652,59.1,10583.5,36.31,36.62,0.853759
1,28,20110211,56.07,56.73,55.3,55.69,49477410,-0.677724,-18.86548397,60981950,26,0.664392,59.1,10583.5,55.26,55.38,0.217155
1,11,20110211,83.45,84,81.61,82.82,85733429,-0.754943,-33.920929,129743696,17,0.531273,59.1,10583.5,82,84.5,3.04878
1,2,20110218,17.39,17.68,17.28,17.28,80023895,-0.632547,-30.22669579,114691279,83,0.173611,59.1,10583.5,16.98,16.68,-1.76678
1,1,20110218,46.42,46.93,45.53,45.53,28564910,-1.91728,-34.70429674,43746998,47,0.395344,59.1,10583.5,44.94,43.53,-3.13752
1,5,20110218,72.7,73.04,71.09,73.04,15989248,0.467675,-26.68647494,21809411,82,0.575027,59.1,10583.5,72.35,72.3,-0.0691085
1,4,20110218,14.77,14.95,14.69,14.75,458423511,-0.13541,-38.58744486,746465458,12,0.0677966,59.1,10583.5,14.38,14.2,-1.25174
1,6,20110218,103.56,105.86,102.01,105.86,16331886,2.22093,-40.89587026,27632394,61,0.415643,59.1,10583.5,104.86,102,-2.72745
1,8,20110218,18.84,18.95,18.56,18.85,390258123,0.0530786,-60.98831052,1000362015,39,0.318302,59.1,10583.5,18.73,18.64,-0.480513
1,7,20110218,95.5,98.72,95.5,98.72,28037827,3.37173,-27.80936849,38838595,89,0.739465,59.1,10583.5,99.23,102.1,2.89227
1,10,20110218,54.44,55.98,53.8,55.98,27705910,2.8288,-25.43320927,37155830,82,0.732404,59.1,10583.5,54.95,54.07,-1.60146
1,29,20110218,43.19,43.9,42.98,43.56,33868302,0.85668,-59.6688392,83975520,294,0.918274,59.1,10583.5,42.83,42.95,0.280177
1,12,20110218,21.51,21.65,21.24,21.44,158691572,-0.32543,-37.09065646,252254376,118,0.652985,59.1,10583.5,20.88,20.82,-0.287356
1,14,20110218,37.47,38.48,37.27,38.48,30619613,2.69549,-15.13269899,36079400,18,0.649688,59.1,10583.5,39.3,37.08,-5.64885
1,13,20110218,48.45,49.12,47.54,48.67,49401750,0.454076,-41.25129314,84089936,24,0.164372,59.1,10583.5,47.57,42.68,-10.2796
1,16,20110218,164.18,164.84,162.52,164.84,14352613,0.401998,-45.02337001,26106753,77,0.454987,59.1,10583.5,163.57,162.28,-0.788653
1,15,20110218,21.63,22.14,21.28,22.14,201181541,2.35784,-15.05677369,236842359,75,0.813008,59.1,10583.5,21.95,21.86,-0.410023
1,17,20110218,60.69,61.11,60.33,61.11,33273371,0.692042,-22.43449648,42897125,7,0.883652,59.1,10583.5,60.68,59.64,-1.71391
1,18,20110218,46,48,46,48,131941706,4.34783,-18.77218549,162434145,45,0.520833,59.1,10583.5,47.2,46.68,-1.10169
1,9,20110218,63.67,64.72,62.55,64.55,29937386,1.38213,-35.29783576,46269528,21,0.728118,59.1,10583.5,63.36,64.31,1.49937
1,19,20110218,30.67,30.93,30.26,30.91,38172345,0.782524,-42.08612152,65912258,39,0.938208,59.1,10583.5,30.72,31.71,3.22266
1,20,20110218,76.07,76.45,75.7,76.13,16734140,0.0788747,-57.48852195,39363816,7,0.801261,59.1,10583.5,75.95,74.44,-1.98815
1,0,20110218,91.72,92.96,91,92.96,13431331,1.35194,-17.6758386,16315175,89,0.591652,59.1,10583.5,92.73,90.25,-2.67443
1,21,20110218,32.97,33.19,32.65,32.85,54419625,-0.363967,-12.28227051,62039482,21,1.15677,59.1,10583.5,32.75,32.19,-1.70992
1,22,20110218,27.2,27.37,26.6,27.06,228916129,-0.514706,-27.87961298,317408348,88,0.591279,59.1,10583.5,26.78,26.55,-0.85885
1,23,20110218,18.82,19.39,18.72,19.19,153153528,1.96599,-15.34365051,180912039,82,1.04221,59.1,10583.5,18.88,18.86,-0.105932
1,24,20110218,64.8,64.8,63.4,64.3,36098973,-0.771605,-30.57864709,51999812,68,0.824261,59.1,10583.5,63.73,62.84,-1.39652
1,3,20110218,28.4,28.57,28,28.57,88244232,0.598592,-31.53522664,128889979,47,1.50508,59.1,10583.5,28.32,28.13,-0.670904
1,25,20110218,58.84,60.92,58.53,60.92,14107769,3.53501,-27.79882031,19539527,18,0.590939,59.1,10583.5,60.6,59.6,-1.65016
1,26,20110218,85.07,85.44,84.25,85.01,11922670,-0.0705302,-28.35428181,16641148,89,0.564639,59.1,10583.5,84.54,83.37,-1.38396
1,27,20110218,36.31,36.62,35.66,36.62,68915874,0.853759,-12.13016836,78429505,47,1.33807,59.1,10583.5,36.24,35.97,-0.745033
